영화제목,에그지수,성별,연령별,감독/등장인물,관람포인트,실관람평개수
기우제,0.0,"성별예매 분포: 남 62%, 여 38%","연령별예매 분포: 10대 0%, 20대 3%, 30대 48%, 40대 34%, 50대 14%","감독 권하, 송길호, 신현규, 전은정",스토리가 탄탄하고 공감되는 영화,13
꽃손,0.0,"성별예매 분포: 남 59%, 여 41%","연령별예매 분포: 10대 0%, 20대 8%, 30대 35%, 40대 27%, 50대 30%","감독 권순중, 박혜진, 전무송, 김이안, 이주실",배우연기가 메소드급인 몰입하여 보게 되는 영화,26
경관의 피,90.0,,"연령별예매 분포: 10대 4%, 20대 30%, 30대 27%, 40대 21%, 50대 17%","감독 이규만, 이성우, 이얼, 백현진, 박정범",배우연기가 메소드급인 몰입하여 보게 되는 영화,12329
스파이 캣,0.0,"성별예매 분포: 남 32%, 여 68%","연령별예매 분포: 10대 2%, 20대 11%, 30대 36%, 40대 46%, 50대 6%","감독 울프강 라우엔슈타인, 감독 크리스토프 라우엔슈타인",영상미가 뛰어나고 상상력을 자극하는 영화,97
원 세컨드,94.0,"성별예매 분포: 남 52%, 여 48%","연령별예매 분포: 10대 1%, 20대 16%, 30대 34%, 40대 27%, 50대 22%","감독 장예모, 류호존, 장역, 범위",배우연기가 메소드급인 몰입하여 보게 되는 영화,993
노웨어 스페셜,97.0,"성별예매 분포: 남 38%, 여 62%","연령별예매 분포: 10대 1%, 20대 20%, 30대 34%, 40대 24%, 50대 22%","감독 우베르토 파솔리니, 다니엘 라몬트, 에일린 오히긴스, 제임스 노턴",배우연기가 메소드급인 감동적인 영화,755
필름,,"성별예매 분포: 남 41%, 여 59%","연령별예매 분포: 10대 29%, 20대 54%, 30대 11%, 40대 4%, 50대 3%","감독 금강산, 방요셉, 홍동균, 윤성현, 심재현",,13
수학여행,83.0,"성별예매 분포: 남 30%, 여 70%","연령별예매 분포: 10대 12%, 20대 35%, 30대 16%, 40대 25%, 50대 11%","감독 야마모토 야스이치로, 야마구치 캇페이, 히다카 노리코, 야마자키 와카나, 호리카와 료",스토리가 탄탄하고 몰입하여 보게 되는 영화,1732
넘버 3,,,,"감독 크리스티안 페촐트, 파울라 베어, 바르바라 아우어",,0
창밖은 겨울,0.0,"성별예매 분포: 남 55%, 여 45%","연령별예매 분포: 10대 1%, 20대 26%, 30대 29%, 40대 34%, 50대 9%","감독 이상진, 한선화, 곽민규",감독연출가 훌륭하고 공감되는 영화,8
