영화제목,에그지수,성별,연령별,감독/등장인물,관람포인트,실관람평개수
공동정범,,"성별예매 분포: 남 41%, 여 59%","연령별예매 분포: 10대 0%, 20대 50%, 30대 23%, 40대 18%, 50대 9%",,감독연출가 훌륭하고 몰입하여 보게 되는 영화,3
노후 대책 없다,,"성별예매 분포: 남 30%, 여 70%","연령별예매 분포: 10대 0%, 20대 48%, 30대 37%, 40대 11%, 50대 4%",,스토리가 탄탄하고 몰입하여 보게 되는 영화,7
이태원,0.0,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 홍기선, 정진영, 고창석, 장근석, 오광록",배우연기가 메소드급인 몰입하여 보게 되는 영화,264
호기심이 고양이를 죽인다,,,,"감독 장 이바이, 후준, 유가령",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
비터 머니,,"성별예매 분포: 남 100%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 100%, 40대 0%, 50대 0%",,,0
22,0.0,,,"장 르노, 감독 리샤르 베리",배우연기가 메소드급인 몰입하여 보게 되는 영화,95
7년-그들이 없는 언론,98.0,"성별예매 분포: 남 38%, 여 62%","연령별예매 분포: 10대 1%, 20대 19%, 30대 36%, 40대 30%, 50대 14%","감독 김진혁, 박성제, 최승호, 강지웅, 이근행",스토리가 탄탄하고 공감되는 영화,1180
로드,0.0,,,"감독 앤드류 니콜, 니콜라스 케이지, 자레드 레토, 장 삐에르 나샤니안, 브리짓 모이나한, 쉐이크 투크만얀",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
추격자,99.0,,,"감독 나홍진, 김윤석, 서영희, 하정우",배우연기가 메소드급인 몰입하여 보게 되는 영화,3473
비바,89.0,"성별예매 분포: 남 34%, 여 66%","연령별예매 분포: 10대 0%, 20대 31%, 30대 32%, 40대 22%, 50대 16%","감독 패디 브레스내치, 루이스 알베르토 가르시아, 헥토르 메디나, 호르헤 페루고리아",배우연기가 메소드급인 몰입하여 보게 되는 영화,234
그물,93.0,"성별예매 분포: 남 56%, 여 44%","연령별예매 분포: 10대 2%, 20대 38%, 30대 32%, 40대 18%, 50대 10%","감독 김기덕, 류승범, 최귀화, 김영민, 이원근",배우연기가 메소드급인 몰입하여 보게 되는 영화,2360
충녀,0.0,"성별예매 분포: 남 48%, 여 53%","연령별예매 분포: 10대 0%, 20대 43%, 30대 30%, 40대 15%, 50대 13%","감독 김기영, 김호정, 남궁원, 윤여정, 박인찬",배우연기가 메소드급인 몰입하여 보게 되는 영화,14
그레이트 레이스,96.0,"성별예매 분포: 남 33%, 여 67%","연령별예매 분포: 10대 0%, 20대 5%, 30대 69%, 40대 24%, 50대 3%","라스무스 하디커, 마크 모라한",스토리가 탄탄하고 몰입하여 보게 되는 영화,119
혹한,0.0,,,"감독 김태윤(1), 김수로, 오광록, 이선균, 고은아",배우연기가 메소드급인 몰입하여 보게 되는 영화,130
신부수업,0.0,,,"감독 허인무, 김인권, 김선화(1), 김인문, 권상우",배우연기가 메소드급인 감동적인 영화,287
"좋아해, 너를",80.0,"성별예매 분포: 남 6%, 여 94%","연령별예매 분포: 10대 14%, 20대 52%, 30대 21%, 40대 11%, 50대 3%","감독 이마이즈미 리키야, 아오야기 후미코, 최민기",배우연기가 메소드급인 기분이 좋아지는 영화,2204
내가 처음으로 사랑한 소녀,82.0,"성별예매 분포: 남 45%, 여 55%","연령별예매 분포: 10대 2%, 20대 17%, 30대 29%, 40대 26%, 50대 26%","감독 오영산, 양사영, 담선언, 감독 양조개",배우연기가 메소드급인 몰입하여 보게 되는 영화,1129
밀레니엄 맘보,,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 허우 샤오시엔, 투안 춘하오, 잭 카오, 서기",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
극장판 프리파라 모두 모여라! 프리즘☆투어즈,82.0,"성별예매 분포: 남 25%, 여 75%","연령별예매 분포: 10대 5%, 20대 31%, 30대 35%, 40대 27%, 50대 2%",감독 히시다 마사카즈,OST가 명곡인 상상력을 자극하는 영화,791
빨간 풍선,,"성별예매 분포: 남 24%, 여 76%","연령별예매 분포: 10대 0%, 20대 38%, 30대 19%, 40대 19%, 50대 24%","감독 허우 샤오시엔, 시몽 이떼아뉘, 줄리엣 비노쉬",배우연기가 메소드급인 몰입하여 보게 되는 영화,2
세상에서 고양이가 사라진다면,90.0,"성별예매 분포: 남 34%, 여 66%","연령별예매 분포: 10대 3%, 20대 50%, 30대 29%, 40대 13%, 50대 5%","감독 나가이 아키라, 사토 타케루, 미야자키 아오이",스토리가 탄탄하고 감동적인 영화,9168
"아이, 로봇",0.0,,,"감독 알렉스 프로야스, 제임스 크롬웰, 치 맥브라이드, 윌 스미스, 브리짓 모이나한, 브루스 그린우드",배우연기가 메소드급인 스트레스가 해소되는 영화,0
인페르노,89.0,,,"감독 론 하워드, 펠리시티 존스, 벤 포스터, 톰 행크스",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
춘몽,91.0,"성별예매 분포: 남 37%, 여 63%","연령별예매 분포: 10대 2%, 20대 38%, 30대 33%, 40대 18%, 50대 8%","감독 장률, 김의성, 강산에, 신민아, 조달환",배우연기가 메소드급인 공감되는 영화,1779
미스터 캣,92.0,"성별예매 분포: 남 31%, 여 69%","연령별예매 분포: 10대 2%, 20대 23%, 30대 36%, 40대 33%, 50대 7%","감독 베리 소넨필드, 케빈 스페이시, 말리나 와이즈먼, 제니퍼 가너, 크리스토퍼 월켄",배우연기가 메소드급인 감동적인 영화,793
크레이지,,,,"황보, 감독 닝 하오",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
걷기왕,83.0,"성별예매 분포: 남 36%, 여 64%","연령별예매 분포: 10대 2%, 20대 35%, 30대 34%, 40대 23%, 50대 7%","감독 백승화, 이재진, 박주희, 김정영, 안승균",배우연기가 메소드급인 감동적인 영화,4676
어카운턴트,92.0,"성별예매 분포: 남 54%, 여 46%","연령별예매 분포: 10대 2%, 20대 28%, 30대 34%, 40대 23%, 50대 13%","감독 게빈 오코너, 벤 애플렉, 안나 켄드릭, 존 번탈, J.K. 시몬스",배우연기가 메소드급인 몰입하여 보게 되는 영화,3359
귀담백경,49.0,"성별예매 분포: 남 41%, 여 59%","연령별예매 분포: 10대 3%, 20대 50%, 30대 30%, 40대 12%, 50대 5%","감독 나카무라 요시히로, 감독 시라이시 코지, 감독 아사토 마리, 감독 오하타 하지메, 타카다 리호, 감독 나이토 에이스케",스토리가 탄탄하고 오싹하게 무서운 영화,260
임브레이스,,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 페드로 알모도바르, 호세 루이스 고메즈, 페넬로페 크루즈",배우연기가 메소드급인 몰입하여 보게 되는 영화,24
니나 포에버,0.0,"성별예매 분포: 남 60%, 여 40%","연령별예매 분포: 10대 0%, 20대 33%, 30대 40%, 40대 27%, 50대 0%","감독 크리스 블레인, 감독 벤 블레인, 시안 베리, 아비게일 하딩햄, 피오나 오쇼너시",배우연기가 메소드급인 몰입하여 보게 되는 영화,13
선생님의 일기,97.0,,"연령별예매 분포: 10대 2%, 20대 41%, 30대 32%, 40대 18%, 50대 8%","감독 니티왓 다라톤, 레일라 분야삭, 비 스크릿 위셋케우",스토리가 탄탄하고 감동적인 영화,10545
마터스,53.0,"성별예매 분포: 남 60%, 여 40%","연령별예매 분포: 10대 0%, 20대 42%, 30대 34%, 40대 15%, 50대 8%","감독 케빈 고츠, 베일리 노블, 트로이안 벨리사리오, 감독 마이클 고츠",배우연기가 메소드급인 몰입하여 보게 되는 영화,134
광인,96.0,"성별예매 분포: 남 51%, 여 49%","연령별예매 분포: 10대 0%, 20대 13%, 30대 31%, 40대 27%, 50대 29%","감독 김상철, 김영순, 옥한흠",스토리가 탄탄하고 몰입하여 보게 되는 영화,80
점퍼,0.0,,,"감독 더그 라이만, 헤이든 크리스텐슨, 사무엘 L. 잭슨",스토리가 탄탄하고 스트레스가 해소되는 영화,773
라우더 댄 밤즈,89.0,"성별예매 분포: 남 24%, 여 76%","연령별예매 분포: 10대 2%, 20대 48%, 30대 31%, 40대 12%, 50대 7%","감독 요아킴 트리에, 가브리엘 번, 데빈 드루이드, 제시 아이젠버그, 이자벨 위페르",배우연기가 메소드급인 몰입하여 보게 되는 영화,1205
로스트 인 더스트,95.0,"성별예매 분포: 남 40%, 여 60%","연령별예매 분포: 10대 1%, 20대 43%, 30대 31%, 40대 15%, 50대 9%","감독 데이빗 맥켄지, 크리스 파인, 벤 포스터, 제프 브리지스",배우연기가 메소드급인 몰입하여 보게 되는 영화,5304
혼숨,69.0,"성별예매 분포: 남 37%, 여 63%","연령별예매 분포: 10대 13%, 20대 56%, 30대 13%, 40대 14%, 50대 4%","감독 이두환, 조복래, 류덕환",배우연기가 메소드급인 오싹하게 무서운 영화,3894
순종,98.0,"성별예매 분포: 남 40%, 여 60%","연령별예매 분포: 10대 1%, 20대 21%, 30대 29%, 40대 30%, 50대 19%","감독 김동민, 감독 이주훈(1), 최강희, 한성국, 최수종",스토리가 탄탄하고 공감되는 영화,624
인형사,0.0,,,"감독 정용기, 남명렬, 심형탁, 옥지영, 김유미",영상미가 뛰어나고 오싹하게 무서운 영화,0
주노,0.0,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 김호준, 김계중, 김자옥, 서민정, 김혜성",스토리가 탄탄하고 몰입하여 보게 되는 영화,253
스테잉 버티컬,,"성별예매 분포: 남 58%, 여 42%","연령별예매 분포: 10대 0%, 20대 36%, 30대 40%, 40대 18%, 50대 6%",,배우연기가 메소드급인 몰입하여 보게 되는 영화,18
어톤먼트,94.0,"성별예매 분포: 남 18%, 여 82%","연령별예매 분포: 10대 4%, 20대 54%, 30대 27%, 40대 10%, 50대 5%","감독 조 라이트, 제임스 맥어보이, 키이라 나이틀리",배우연기가 메소드급인 몰입하여 보게 되는 영화,594
"나, 다니엘 블레이크",99.0,"성별예매 분포: 남 34%, 여 66%","연령별예매 분포: 10대 1%, 20대 34%, 30대 36%, 40대 18%, 50대 10%","감독 켄 로치, 헤일리 스콰이어, 데이브 존스",스토리가 탄탄하고 몰입하여 보게 되는 영화,8323
"무현, 두 도시 이야기",98.0,"성별예매 분포: 남 43%, 여 57%","연령별예매 분포: 10대 1%, 20대 18%, 30대 39%, 40대 33%, 50대 9%","감독 전인환, 노무현, 김원명, 김하연",스토리가 탄탄하고 감동적인 영화,6060
꿈의 제인,92.0,"성별예매 분포: 남 29%, 여 71%","연령별예매 분포: 10대 0%, 20대 53%, 30대 29%, 40대 11%, 50대 6%","감독 조현훈, 이주영, 이민지(1), 구교환",배우연기가 메소드급인 몰입하여 보게 되는 영화,2447
시간의 종말,88.0,"성별예매 분포: 남 36%, 여 64%","연령별예매 분포: 10대 0%, 20대 23%, 30대 33%, 40대 22%, 50대 22%","채재일, 트리오 오원",스토리가 탄탄하고 몰입하여 보게 되는 영화,123
오브,0.0,,,"감독 케리 콘란, 안젤리나 졸리, 주드 로, 바이링, 귀네스 팰트로, 지오바니 리비시",배우연기가 메소드급인 몰입하여 보게 되는 영화,247
연을 쫓는 아이,,,,"감독 마크 포스터, 에산 아만, 카리드 압달라",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
뮤리엘의 웨딩,88.0,"성별예매 분포: 남 32%, 여 68%","연령별예매 분포: 10대 1%, 20대 20%, 30대 32%, 40대 27%, 50대 20%","감독 P.J. 호건, 레이첼 그리피스, 빌 헌터, 토니 콜렛",OST가 명곡인 몰입하여 보게 되는 영화,110
"화성아이, 지구아빠",0.0,,,"감독 메노 메이제스, 보비 콜맨, 존 쿠삭",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
캘리포니아,0.0,"성별예매 분포: 남 38%, 여 62%","연령별예매 분포: 10대 1%, 20대 17%, 30대 38%, 40대 25%, 50대 19%","감독 더그 니콜, 존 메이어, 톰 행크스",감독연출가 훌륭하고 몰입하여 보게 되는 영화,69
문영,89.0,"성별예매 분포: 남 18%, 여 82%","연령별예매 분포: 10대 2%, 20대 59%, 30대 28%, 40대 8%, 50대 3%","감독 김소연(1), 김태리, 정현",배우연기가 메소드급인 몰입하여 보게 되는 영화,484
분장,,"성별예매 분포: 남 35%, 여 65%","연령별예매 분포: 10대 4%, 20대 43%, 30대 52%, 40대 0%, 50대 0%",,배우연기가 메소드급인 몰입하여 보게 되는 영화,18
늑대와 춤을,99.0,"성별예매 분포: 남 61%, 여 39%","연령별예매 분포: 10대 0%, 20대 16%, 30대 30%, 40대 25%, 50대 29%","감독 케빈 코스트너, 케빈 코스트너, 매리 맥도넬, 그레이엄 그린",영상미가 뛰어나고 감동적인 영화,270
키키,97.0,"성별예매 분포: 남 56%, 여 44%","연령별예매 분포: 10대 0%, 20대 28%, 30대 37%, 40대 19%, 50대 17%","감독 임순례, 류승범, 박해일, 이얼, 박원상",배우연기가 메소드급인 몰입하여 보게 되는 영화,419
아름답다,,,,"차수연, 감독 전재홍",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
서유,,,,"감독 신재호, 류담, 한민관, 김병만(코미디언)",배우연기가 메소드급인 몰입하여 보게 되는 영화,19
닥터 스트레인지,94.0,"성별예매 분포: 남 34%, 여 66%","연령별예매 분포: 10대 1%, 20대 50%, 30대 29%, 40대 14%, 50대 6%","감독 스탠리 큐브릭, 피터 셀라스, 조지 C. 스코트",감독연출가 훌륭하고 몰입하여 보게 되는 영화,264
어떻게 헤어질까,0.0,"성별예매 분포: 남 58%, 여 42%","연령별예매 분포: 10대 0%, 20대 30%, 30대 49%, 40대 13%, 50대 8%","감독 조성규, 박규리, 서준영",스토리가 탄탄하고 몰입하여 보게 되는 영화,46
스플릿,97.0,,,"감독 최국희, 유지태, 이다윗, 정성화, 이정현",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
감바의 대모험,94.0,"성별예매 분포: 남 34%, 여 66%","연령별예매 분포: 10대 0%, 20대 4%, 30대 60%, 40대 34%, 50대 2%","감독 코모리 요시히로, 감독 카와무라 토모히로",스토리가 탄탄하고 유쾌한 영화,1440
무한대를 본 남자,94.0,"성별예매 분포: 남 40%, 여 60%","연령별예매 분포: 10대 1%, 20대 31%, 30대 34%, 40대 22%, 50대 12%","감독 맷 브라운, 데브 파텔, 제레미 아이언스",배우연기가 메소드급인 감동적인 영화,2407
벨빌의 세 쌍둥이,93.0,"성별예매 분포: 남 42%, 여 58%","연령별예매 분포: 10대 1%, 20대 23%, 30대 36%, 40대 25%, 50대 15%","감독 실뱅 쇼메, 장 클로드 돈나, 미쉘 코크투, 모니카 비에가스, 미셸 로뱅",영상미가 뛰어나고 상상력을 자극하는 영화,178
킬리만자로,0.0,,,"감독 오승욱, 박신양, 안성기",배우연기가 메소드급인 몰입하여 보게 되는 영화,12
누구나 비밀은 있다,0.0,,,"감독 장현수, 이병헌, 김효진, 선우용녀, 추상미",스토리가 탄탄하고 감동적인 영화,0
배드 랩,90.0,"성별예매 분포: 남 49%, 여 51%","연령별예매 분포: 10대 0%, 20대 46%, 30대 44%, 40대 8%, 50대 1%","감독 살리마 코로마, 감독 재키 조",스토리가 탄탄하고 몰입하여 보게 되는 영화,7
프레쉬 드레스드,92.0,"성별예매 분포: 남 62%, 여 38%","연령별예매 분포: 10대 0%, 20대 33%, 30대 52%, 40대 10%, 50대 5%","감독 사샤 젠킨스, 데이몬드 존, 데이먼 대쉬",영상미가 뛰어나고 몰입하여 보게 되는 영화,16
바버샵 3,79.0,"성별예매 분포: 남 22%, 여 78%","연령별예매 분포: 10대 3%, 20대 61%, 30대 25%, 40대 10%, 50대 2%",감독 말콤 D.리,배우연기가 메소드급인 몰입하여 보게 되는 영화,27
허슬 앤 플로우,55.0,"성별예매 분포: 남 25%, 여 75%","연령별예매 분포: 10대 0%, 20대 67%, 30대 31%, 40대 0%, 50대 2%",감독 크레이그 브루어,스토리가 탄탄하고 몰입하여 보게 되는 영화,6
브루클린 보헤미안,40.0,,,"감독 다이앤 파라그라스, 감독 넬슨 조지",스토리가 탄탄하고 몰입하여 보게 되는 영화,3
시소,96.0,"성별예매 분포: 남 18%, 여 82%","연령별예매 분포: 10대 2%, 20대 63%, 30대 22%, 40대 6%, 50대 7%",감독 고희영,스토리가 탄탄하고 몰입하여 보게 되는 영화,152
월 롸이터,0.0,,,감독 로저 개스트맨,스토리가 탄탄하고 몰입하여 보게 되는 영화,1
당신자신과 당신의 것,84.0,"성별예매 분포: 남 47%, 여 53%","연령별예매 분포: 10대 0%, 20대 36%, 30대 38%, 40대 18%, 50대 9%","감독 홍상수, 백현진, 유준상, 이유영, 김주혁",배우연기가 메소드급인 몰입하여 보게 되는 영화,1405
밴티지 포인트,0.0,,,"감독 피트 트레비스, 매튜 폭스, 데니스 퀘이드, 시고니 위버",스토리가 탄탄하고 몰입하여 보게 되는 영화,675
오 마이 파파,97.0,"성별예매 분포: 남 31%, 여 69%","연령별예매 분포: 10대 0%, 20대 13%, 30대 43%, 40대 28%, 50대 16%",감독 박혁지,스토리가 탄탄하고 몰입하여 보게 되는 영화,134
아트 오브 랩,99.0,,,"감독 앤디 바이부트, 감독 아이스 티",OST가 명곡인 몰입하여 보게 되는 영화,5
랩소디,98.0,,,"감독 브라이언 싱어, 마이크 마이어스, 에이단 길렌, 귈림 리, 루시 보인턴",,0
스퀴즈,85.0,"성별예매 분포: 남 53%, 여 47%","연령별예매 분포: 10대 0%, 20대 32%, 30대 30%, 40대 21%, 50대 17%","감독 테리 재스트로, 제이슨 도링, 제레미 섬터, 크리스토퍼 맥도날드",스토리가 탄탄하고 몰입하여 보게 되는 영화,269
러브 어페어,91.0,"성별예매 분포: 남 46%, 여 54%","연령별예매 분포: 10대 1%, 20대 21%, 30대 31%, 40대 24%, 50대 24%","감독 엠마누엘 무레, 에밀리 드켄, 귀욤 고익스, 멜리사 홀트, 빈센트 맥케인, 카멜리아 조다나",배우연기가 메소드급인 몰입하여 보게 되는 영화,310
솔로탈출귀,0.0,"성별예매 분포: 남 33%, 여 67%","연령별예매 분포: 10대 5%, 20대 33%, 30대 33%, 40대 16%, 50대 13%",감독 전용석,스토리가 탄탄하고 몰입하여 보게 되는 영화,45
아들에게 가는 길,0.0,"성별예매 분포: 남 39%, 여 61%","연령별예매 분포: 10대 1%, 20대 22%, 30대 33%, 40대 28%, 50대 16%","김은주, 서성광, 이로운",배우연기가 메소드급인 몰입하여 보게 되는 영화,95
집결호,0.0,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","장한위, 감독 펑 샤오강",스토리가 탄탄하고 몰입하여 보게 되는 영화,0
바보,0.0,,,"감독 김정권, 차태현, 하지원",배우연기가 메소드급인 몰입하여 보게 되는 영화,725
줄리에타,95.0,"성별예매 분포: 남 35%, 여 65%","연령별예매 분포: 10대 1%, 20대 31%, 30대 33%, 40대 21%, 50대 14%","감독 페드로 알모도바르, 아드리아나 우가르테, 엠마 수아레스",배우연기가 메소드급인 몰입하여 보게 되는 영화,1053
슈퍼소닉,95.0,"성별예매 분포: 남 26%, 여 74%","연령별예매 분포: 10대 5%, 20대 55%, 30대 25%, 40대 10%, 50대 5%","감독 맷 화이트크로스, 리암 갤러거, 노엘 갤러거",OST가 명곡인 몰입하여 보게 되는 영화,2017
위스키 탱고 폭스트롯,86.0,"성별예매 분포: 남 40%, 여 60%","연령별예매 분포: 10대 1%, 20대 34%, 30대 32%, 40대 21%, 50대 11%","감독 글렌 피카라, 감독 존 레쿼, 마고 로비, 티나 페이, 마틴 프리먼, 알프리드 몰리나",배우연기가 메소드급인 몰입하여 보게 되는 영화,560
카페 6,89.0,"성별예매 분포: 남 32%, 여 69%","연령별예매 분포: 10대 4%, 20대 49%, 30대 30%, 40대 13%, 50대 5%","감독 오자운, 동자건, 구양니니, 임백굉, 안탁령",배우연기가 메소드급인 몰입하여 보게 되는 영화,4498
형,0.0,,,"감독 안권태, 신하균, 이보영(1), 김해숙, 김태욱(1)",배우연기가 메소드급인 감동적인 영화,1711
"나의 위대한 친구, 세잔",88.0,"성별예매 분포: 남 30%, 여 70%","연령별예매 분포: 10대 1%, 20대 25%, 30대 29%, 40대 21%, 50대 25%","감독 다니엘르 톰슨, 기욤 갈리엔, 기욤 카네",영상미가 뛰어나고 몰입하여 보게 되는 영화,978
"내 어깨 위 고양이, 밥",95.0,"성별예매 분포: 남 40%, 여 60%","연령별예매 분포: 10대 1%, 20대 16%, 30대 37%, 40대 27%, 50대 18%","감독 찰스 마틴 스미스, 루크 트레더웨이, 밥, 팔두트 샤르마, 크리스티나 톤테리 영",스토리가 탄탄하고 감동적인 영화,483
블레어 위치,52.0,"성별예매 분포: 남 51%, 여 49%","연령별예매 분포: 10대 3%, 20대 40%, 30대 31%, 40대 15%, 50대 12%","감독 애덤 윈가드, 코빈 리드, 웨스 로빈슨, 브랜던 스콧, 칼리 헤르난데스, 제임스 앨런 맥퀸",배우연기가 메소드급인 오싹하게 무서운 영화,2291
퍼스널 쇼퍼,84.0,"성별예매 분포: 남 36%, 여 64%","연령별예매 분포: 10대 1%, 20대 36%, 30대 35%, 40대 18%, 50대 10%","감독 올리비에 아사야스, 노라 본 발드스타텐, 크리스틴 스튜어트",배우연기가 메소드급인 몰입하여 보게 되는 영화,1698
워,0.0,,,"감독 앤드류 니콜, 니콜라스 케이지, 자레드 레토, 장 삐에르 나샤니안, 브리짓 모이나한, 쉐이크 투크만얀",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
페니 핀처,96.0,"성별예매 분포: 남 29%, 여 71%","연령별예매 분포: 10대 1%, 20대 30%, 30대 38%, 40대 15%, 50대 16%","대니 분, 감독 프레드 카바예",배우연기가 메소드급인 몰입하여 보게 되는 영화,159
"나의 딸, 나의 누나",88.0,"성별예매 분포: 남 41%, 여 59%","연령별예매 분포: 10대 0%, 20대 30%, 30대 37%, 40대 16%, 50대 17%","감독 토마스 비더게인, 피네건 올드필드, 프랑소아 다미앙, 존 C. 라일리",배우연기가 메소드급인 몰입하여 보게 되는 영화,142
아브릴과 조작된 세계,92.0,"성별예매 분포: 남 40%, 여 60%","연령별예매 분포: 10대 2%, 20대 36%, 30대 34%, 40대 19%, 50대 9%","감독 크리스티앙 데마르, 감독 프랑크 에킨시, 장 로슈포르, 마크-앙드레 그롱당, 올리비에 구르메, 필리프 카터린느",스토리가 탄탄하고 몰입하여 보게 되는 영화,447
은하,0.0,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","임지규, 감독 윤성호",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
나의 살던 고향은,95.0,"성별예매 분포: 남 57%, 여 43%","연령별예매 분포: 10대 0%, 20대 15%, 30대 30%, 40대 33%, 50대 21%","김용옥, 감독 류종헌",스토리가 탄탄하고 몰입하여 보게 되는 영화,205
노인을 위한 나라는 없다,99.0,"성별예매 분포: 남 34%, 여 66%","연령별예매 분포: 10대 1%, 20대 51%, 30대 32%, 40대 11%, 50대 5%","감독 조엘 코엔, 감독 에단 코엔, 하비에르 바르뎀, 조슈 브롤린, 타미 리 존스",배우연기가 메소드급인 몰입하여 보게 되는 영화,739
단지 세상의 끝,78.0,"성별예매 분포: 남 28%, 여 72%","연령별예매 분포: 10대 1%, 20대 43%, 30대 32%, 40대 14%, 50대 9%","감독 자비에 돌란, 나탈리 베이, 레아 세이두, 마리옹 꼬띠아르, 가스파르 울리엘",배우연기가 메소드급인 몰입하여 보게 되는 영화,2390
마이 골든 데이즈,88.0,,,"감독 아르노 데스플레생, 루 로이 레콜리넷, 쿠엔틴 돌마이레, 마티유 아말릭",배우연기가 메소드급인 몰입하여 보게 되는 영화,146
이터너티,76.0,"성별예매 분포: 남 24%, 여 76%","연령별예매 분포: 10대 1%, 20대 26%, 30대 29%, 40대 23%, 50대 20%","감독 트란 안 홍, 오드리 토투, 피에르 델라돈챔프스, 베레니스 베조, 멜라니 로랑, 제레미 레니에",영상미가 뛰어나고 몰입하여 보게 되는 영화,364
두 남자,0.0,,,"감독 김성훈, 백윤식, 이혜영(2), 봉태규",배우연기가 메소드급인 몰입하여 보게 되는 영화,142
신비한 동물사전,93.0,,,"감독 데이빗 예이츠, 콜린 파렐, 사만다 모튼, 에디 레드메인, 페잇그 우드-블라크로브, 캐서린 워터스턴",,0
하이큐!! 끝과 시작,96.0,"성별예매 분포: 남 20%, 여 80%","연령별예매 분포: 10대 13%, 20대 51%, 30대 18%, 40대 11%, 50대 7%","감독 미츠나카 스스무, 히노 사토시, 이리노 미유",스토리가 탄탄하고 몰입하여 보게 되는 영화,248
여교사,67.0,"성별예매 분포: 남 36%, 여 64%","연령별예매 분포: 10대 0%, 20대 46%, 30대 30%, 40대 15%, 50대 8%","감독 김태용(1), 유인영, 이원근, 김하늘",배우연기가 메소드급인 몰입하여 보게 되는 영화,5176
해리가 샐리를 만났을 때,97.0,"성별예매 분포: 남 27%, 여 73%","연령별예매 분포: 10대 2%, 20대 51%, 30대 30%, 40대 10%, 50대 7%","감독 로브 라이너, 캐리 피셔, 멕 라이언, 빌리 크리스탈",배우연기가 메소드급인 감동적인 영화,2501
레이디 수잔,82.0,"성별예매 분포: 남 24%, 여 76%","연령별예매 분포: 10대 0%, 20대 36%, 30대 35%, 40대 18%, 50대 11%","감독 위트 스틸먼, 자비에르 사무엘, 클로에 세비니, 케이트 베킨세일",배우연기가 메소드급인 몰입하여 보게 되는 영화,478
사랑보다 황금,0.0,,,"감독 앤디 테넌트, 케이트 허드슨, 매튜 맥커너히",영상미가 뛰어나고 몰입하여 보게 되는 영화,0
분신사바,0.0,,,"감독 안병기, 김계중, 김규리(1), 최성민(1), 이세은",배우연기가 메소드급인 오싹하게 무서운 영화,0
"컴, 투게더",,"성별예매 분포: 남 18%, 여 82%","연령별예매 분포: 10대 3%, 20대 51%, 30대 27%, 40대 16%, 50대 3%",,스토리가 탄탄하고 몰입하여 보게 되는 영화,13
슈팅걸스,80.0,"성별예매 분포: 남 63%, 여 37%","연령별예매 분포: 10대 2%, 20대 15%, 30대 32%, 40대 30%, 50대 22%","감독 배효민, 조성희(감독), 정웅인, 정지혜, 윤주희",배우연기가 메소드급인 감동적인 영화,280
페이 더 고스트,0.0,"성별예매 분포: 남 54%, 여 46%","연령별예매 분포: 10대 0%, 20대 28%, 30대 30%, 40대 25%, 50대 16%","감독 울리 에델, 잭 풀턴, 사라 웨인 콜리스, 니콜라스 케이지",배우연기가 메소드급인 몰입하여 보게 되는 영화,87
비치온더비치,86.0,"성별예매 분포: 남 58%, 여 42%","연령별예매 분포: 10대 0%, 20대 43%, 30대 35%, 40대 14%, 50대 9%","감독 정가영, 이하윤, 김최용준, 정가영",배우연기가 메소드급인 몰입하여 보게 되는 영화,127
맘마 로마,94.0,"성별예매 분포: 남 53%, 여 47%","연령별예매 분포: 10대 4%, 20대 23%, 30대 26%, 40대 14%, 50대 19%","안나 마냐니, 감독 피에르 파올로 파졸리니",배우연기가 메소드급인 몰입하여 보게 되는 영화,83
원피스 필름 골드,95.0,"성별예매 분포: 남 43%, 여 57%","연령별예매 분포: 10대 8%, 20대 35%, 30대 23%, 40대 30%, 50대 3%","감독 미야모토 히로아키, 여민정, 최석필, 전태열, 소정환",영상미가 뛰어나고 몰입하여 보게 되는 영화,4930
