영화제목,에그지수,관람포인트,실관람평개수,감독1,감독2,감독3,감독4,감독5,배우1,배우2,배우3,배우4,배우5,배우6,남자,여자,10대,20대,30대,40대,50대
트리플 9,66.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,1224,존 힐코트,,,,,노만 리더스,우디 해럴슨,안소니 마키,케이시 애플렉,,,59,41,0,25,33,25,17
철원기행,91.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,184,김대환,,,,,이영란,허재원,이상희,문창길,,,42,58,2,28,38,22,10
오베라는 남자,97.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,4780,하네스 홀름,,,,,포얀 카리미,프레드릭 에버스,필립 버그,,,,29,71,1,38,33,18,11
두 번째 스물,68.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,163,박흥식,,,,,이태란,김승우,,,,,45,55,0,16,27,33,24
사랑과 음악사이,76.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,295,션 뮤쇼우,,,,,블리드 대너,조 맨가니엘로,다이아나 애그론,제이슨 서디키스,,,34,66,1,28,27,26,18
시크릿 인 데어 아이즈,78.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,683,빌리 레이,,,,,치웨텔 에지오포,니콜 키드먼,줄리아 로버츠,,,,41,59,1,21,31,29,18
매직브러시,84.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,1527,쯔씽 쫑,,,,,김경희,홍진욱,김서영,박상훈(성우),,,30,70,0,4,50,44,2
계춘할망,95.0,배우연기가 메소드급인 감동적인 영화,8574,창감독,,,,,윤여정,신은정,최민호,김고은,,,27,73,4,37,28,23,9
극장판 안녕 자두야,86.0,스토리가 탄탄하고 유쾌한 영화,2840,손석우,,,,,여민정,양정화,,,,,30,70,1,4,48,45,2
쇼콜라,96.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,413,로쉬디 젬,,,,,올리비에 구르메,오마 사이,노에미 르보브스키,제임스 티에레,클로틸드 헤스메,,31,69,0,34,34,18,14
테일 오브 테일즈,78.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,3779,마테오 가로네,,,,,셀마 헤이엑,스테이시 마틴,뱅상 카셀,토비 존스,,,29,71,0,39,37,16,8
다이노X 탐험대,71.0,영상미가 뛰어나고 상상력을 자극하는 영화,536,이동희(1),,,,,하하,정준하,,,,,30,70,0,4,61,33,2
태양 아래,82.0,감독연출가 훌륭하고 몰입하여 보게 되는 영화,444,비탈리 만스키,,,,,,,,,,,48,52,1,30,29,20,20
바이 더 씨,76.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,450,안젤리나 졸리,,,,,브래드 피트,안젤리나 졸리,,,,,30,70,0,33,32,21,14
클랜,88.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,660,파블로 트라페로,,,,,피터 란자니,길예르모 프란셀라,,,,,44,56,0,31,37,19,12
부모님과 이혼하는 방법,72.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,161,제이슨 베이트먼,,,,,니콜 키드먼,메리앤 프런켓,제이슨 베이트먼,크리스토퍼 월켄,,,31,69,0,29,33,24,13
스페이스 오디세이,94.0,감독연출가 훌륭하고 몰입하여 보게 되는 영화,564,스탠리 큐브릭,,,,,케어 둘리,게리 록우드,,,,,39,61,1,46,32,14,6
미스터 홈즈,86.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,865,빌 콘돈,,,,,사나다 히로유키,마일로 파커,로라 리니,이안 맥켈런,,,29,71,1,34,37,18,10
대도시,95.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,10164,이언희,,,,,노상현,김고은,,,,,30,70,8,39,25,15,13
미나미 양장점의 비밀,87.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,443,미시마 유키코,,,,,미우라 타카히로,카타기리 하이리,나카타니 미키,,,,30,70,0,24,33,25,18
하드코어 헨리,64.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,2563,일리야 나이슐러,,,,,헤일리 베넷,샬토 코플리,팀 로스,,,,69,31,0,40,39,15,6
캡티브,80.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,174,루퍼트 와이어트,,,,,앨런 럭,애쉬튼 샌더슨,베라 파미가,존 굿맨,,,68,32,0,20,37,26,17
램스,89.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,364,그리무르 하코나르슨,,,,,테오도르 줄리어슨,시구르더 시거르존슨,,,,,43,57,0,33,35,21,11
배짱이들,99.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,2,정 훈,,,,,이인세,강백수,문용일,송형준,,,0,0,0,0,0,0,0
본 투 비 블루,96.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,8543,로버트 뷔드로,,,,,카르멘 에조고,에단 호크,,,,,32,68,0,40,36,16,8
오만과 편견 그리고 좀비,74.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,720,버 스티어스,,,,,맷 스미스,샘 라일리,벨라 헤스콧,잭 휴스턴,,,38,62,1,40,35,17,7
히치콕 트뤼포,94.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,298,켄트 존스,,,,,,,,,,,39,61,2,35,34,21,8
서프러제트,97.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,3877,사라 가브론,,,,,헬레나 본햄 카터,메릴 스트립,로몰라 가레이,캐리 멀리건,,,19,81,1,55,25,11,7
몽 루아,93.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,216,마이웬 르 베스코,,,,,뱅상 카셀,엠마누엘 베르코,이실드 르 베스코,루이 가렐,,,29,71,0,30,35,18,16
플래그 더 문,94.0,스토리가 탄탄하고 공감되는 영화,447,엔리크 가토,,,,,이지현,신경선,서원석,탁원제,,,33,67,1,2,46,48,3
프랑코포니아,70.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,163,알렉산더 소쿠로프,,,,,빈센트 네메스,베냐민 우체라트,루이-도 드 렝퀘셍,,,,41,59,1,30,31,22,17
시선 사이,70.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,112,최익환,신연식,이광국,,,박주희,정예녹,,,,,47,53,0,31,44,19,6
다가오는 것들,94.0,배우연기가 메소드급인 공감되는 영화,1424,미아 한센 러브,,,,,로만 콜린카,에디스 스콥,이자벨 위페르,,,,31,69,1,31,33,19,17
극장판 유희왕 더 다크 사이드 오브 디멘션즈,88.0,영상미가 뛰어나고 감동적인 영화,359,쿠와바라 사토시,,,,,,,,,,,35,65,3,31,20,41,5
뼈,62.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,5341,해럴드 즈워트,,,,,케빈 지거스,제미마 웨스트,제이미 캠벨 바우어,릴리 콜린스,,,38,62,3,38,34,21,4
크리미널,88.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,4178,아리엘 브로멘,,,,,케빈 코스트너,갤 가돗,라이언 레이놀즈,토미 리 존스,,,47,53,1,32,31,23,13
미스터 라잇,74.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,1196,파코 카베자스,,,,,안나 켄드릭,샘 록웰,팀 로스,,,,40,60,1,47,27,16,9
데몰리션,92.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,4960,장 마크 발레,,,,,유다 르위스,제이크 질렌할,나오미 왓츠,,,,34,66,0,36,37,18,10
비밀은 없다,66.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,8064,이경미,,,,,손예진,김주혁,,,,,38,62,0,44,33,16,7
살인에 관한 짧은 필름,95.0,감독연출가 훌륭하고 몰입하여 보게 되는 영화,109,크쥐시토프 키에슬로프스키,,,,,,,,,,,59,41,0,33,28,20,19
어느 독재자,94.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,183,모흐센 마흐말바프,,,,,다치 오르벨라쉬빌리,미하일 고미아쉬빌리,,,,,43,57,0,44,31,13,11
빅뱅 메이드,96.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,2970,변진호,,,,,강대성,동영배,최승현,권지용,,,11,89,14,47,15,19,5
에브리바디 원츠 썸!!,88.0,OST가 명곡인 몰입하여 보게 되는 영화,802,리차드 링클래이터,,,,,글렌 파월,조이 도이치,블레이크 제너,라이언 구즈먼,,,44,56,0,41,37,16,6
나이스 가이즈,76.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,1082,셰인 블랙,,,,,라이언 고슬링,러셀 크로우,,,,,45,55,0,41,30,17,12
아이 인 더 스카이,97.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,906,개빈 후드,,,,,헬렌 미렌,바크하드 압디,아론 폴,앨런 릭먼,,,48,52,1,32,35,19,14
더 웨이브,88.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,824,로아 우다우그,,,,,아네 달 토르프,크리스토퍼 요너,,,,,49,51,2,29,29,28,13
슈퍼 프렌즈,93.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,637,이경호,이원재,,,,김지혜(성우),서지연,박조호,,,,28,72,1,3,54,40,2
미친개들,81.0,배우연기가 메소드급인 긴장을 늦출 수 없는 영화,177,에릭 하네조,,,,,램버튼 윌슨,귀욤 고익스,비에르지니 르도엔,,,,66,34,0,35,30,22,13
마일스,82.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,528,돈 치들,,,,,이완 맥그리거,이마야치 코리닐디,마이클 스털버그,돈 치들,,,44,56,0,28,35,22,14
극장판 프리즘스톤 올스타 셀렉션,70.0,OST가 명곡인 감동적인 영화,317,히시다 마사카즈,,,,,,,,,,,30,70,4,25,32,37,3
나의 산티아고,91.0,영상미가 뛰어나고 공감되는 영화,3358,줄리아 폰 하인츠,,,,,카롤리네 슈흐,마르티나 게덱,데비드 스트리에소브,,,,33,67,1,21,32,22,24
라이엇,89.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,358,론 쉐르픽,,,,,샘 클라플린,더글러스 부스,맥스 아이언스,,,,24,76,0,50,29,14,6
이레셔널 맨,88.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,2044,우디 앨런,,,,,엠마 스톤,호아킨 피닉스,,,,,34,66,0,33,36,18,12
파비안느,90.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,3187,고레에다 히로카즈,,,,,에단 호크,마농 끌라벨,줄리엣 비노쉬,클레망틴 그르니에,까뜨린느 드뇌브,,33,67,1,28,36,21,15
사랑과 어둠의 이야기,79.0,배우연기가 메소드급인 감동적인 영화,334,나탈리 포트만,,,,,길라드 카하나,아미르 테슬러,나탈리 포트만,,,,34,66,1,32,34,20,13
태풍이 지나가고,97.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,4767,고레에다 히로카즈,,,,,키키 키린,요시자와 타이요,고바야시 사토미,아베 히로시,,,35,65,1,30,38,21,11
비거 스플래쉬,85.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,1464,루카 구아다니노,,,,,틸다 스윈튼,다코타 존슨,랄프 파인즈,마티아스 쇼에나에츠,,,41,59,0,24,32,24,20
업 포 러브,92.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,661,로랑 티라르,,,,,비르지니 에피라,장 뒤자르댕,,,,,40,60,1,32,36,17,13
피닉스 라이트 사건,60.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,4,키스 아렘,,,,,리암 오브라이언,트라비스 월링햄,유리 로웬탈,트로이 베이커,마이클 아담스웨이트,,0,0,0,0,0,0,0
도심 속의 방,80.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,118,자끄 드미,,,,,도미니크 상다,다니엘 다리유,리샤르 베리,,,,48,53,0,31,30,21,18
최악의 하루,89.0,배우연기가 메소드급인 기분이 좋아지는 영화,8966,김종관,,,,,이와세 료,권율,한예리,,,,31,69,1,47,34,13,5
마이 리틀 자이언트,90.0,영상미가 뛰어나고 감동적인 영화,5803,스티븐 스필버그,,,,,페넬로페 윌튼,마크 라이런스,루비 반힐,저메인 클레멘트,,,31,69,1,15,35,44,5
나의 딸,88.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,142,토마스 비더게인,,,,,피네건 올드필드,프랑소아 다미앙,존 C. 라일리,,,,41,59,0,30,37,16,17
걸즈 앤 판처 극장판,92.0,영상미가 뛰어나고 유쾌한 영화,1074,미즈시마 츠토무,,,,,이구치 유카,카야노 아이,후치가미 마이,,,,90,10,7,52,30,9,3
악마들,74.0,배우연기가 메소드급인 긴장을 늦출 수 없는 영화,3285,,,,,,신승환,최귀화,오대환,윤병희,장동윤,,46,54,0,23,24,28,25
고스트버스터즈,83.0,영상미가 뛰어나고 기분이 좋아지는 영화,6536,제이슨 라이트맨,,,,,빌 머레이,맥케나 그레이스,캐리 쿤,핀 울프하드,,,52,48,3,20,29,32,17
범죄의 여왕,93.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,1800,이요섭,,,,,박지영,허정도,이솜,조복래,,,42,58,1,30,36,23,10
굿 윌 헌팅,99.0,배우연기가 메소드급인 감동적인 영화,5297,구스 반 산트,,,,,벤 애플렉,맷 데이먼,로빈 윌리엄스,,,,26,74,2,49,26,14,10
플로렌스,93.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,5062,스티븐 프리어즈,,,,,휴 그랜트,레베카 퍼거슨,사이몬 헬버그,메릴 스트립,,,31,69,1,29,31,24,16
오페라,88.0,OST가 명곡인 몰입하여 보게 되는 영화,1199,조엘 슈마허,,,,,미니 드라이버,패트릭 윌슨,제라드 버틀러,에미 로섬,미란다 리차드슨,,24,76,1,46,31,15,7
올레,86.0,배우연기가 메소드급인 기분이 좋아지는 영화,1909,채두병,,,,,오만석,박희순,신하균,,,,41,59,1,32,33,23,12
로빈슨 크루소,92.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,1498,벤 스타센,빈센트 케스텔루트,,,,데이비드 호워드,유리 로웬탈,라일라 베르진,,,,35,65,0,4,48,44,3
그랜드파더,80.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,671,이서,,,,,고보결,정진영,박근형,,,,55,45,0,37,28,20,15
장난감이 살아있다,85.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,1284,후안 호세 캄파넬라,,,,,케이티 홈즈,아리아나 그란데,니콜라스 홀트,루퍼트 그린트,,,35,65,1,7,49,38,6
쥬랜더 리턴즈,64.0,배우연기가 메소드급인 유쾌한 영화,271,벤 스틸러,,,,,페넬로페 크루즈,벤 스틸러,저스틴 비버,윌 페렐,크리스틴 위그,,42,58,2,39,33,19,7
달빛궁궐,85.0,영상미가 뛰어나고 상상력을 자극하는 영화,1222,김현주(2),,,,,김서영,권율,김슬기,이하늬,,,29,71,1,5,42,50,2
이퀄스,87.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,3461,드레이크 도리머스,,,,,니콜라스 홀트,크리스틴 스튜어트,,,,,29,71,3,48,27,15,7
자백,98.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,3638,최승호,,,,,최승호,원세훈,김기춘,,,,46,54,0,22,36,30,12
물숨,97.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,268,고희영,,,,,,,,,,,33,67,0,31,36,23,9
즐거운 나의 집,91.0,스토리가 탄탄하고 유쾌한 영화,1562,송정률,송요한,,,,오인실,박지윤,,,,,41,59,2,12,30,39,17
사랑이 이끄는 대로,86.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,383,끌로드 를르슈,,,,,장 뒤자르댕,엘자 질버스테인,,,,,33,67,0,26,32,24,19
드림 쏭,94.0,OST가 명곡인 몰입하여 보게 되는 영화,2404,애쉬 브래넌,,,,,루크 윌슨,맷 딜런,J.K. 시몬스,에디 이자드,,,33,67,1,5,52,40,2
폴라로이드 작동법,93.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,741,김종관,,,,,정유미,,,,,,48,52,3,24,37,19,17
거울나라의 앨리스,92.0,영상미가 뛰어나고 감동적인 영화,13497,제임스 보빈,,,,,헬레나 본햄 카터,조니 뎁,앨런 릭먼,미아 와시코브스카,,,27,73,4,36,26,29,5
캠핑,92.0,스토리가 탄탄하고 유쾌한 영화,1614,신창환,류정우,,,,샘 해밍턴,최한,강시현,,,,34,66,1,11,32,42,14
연인과 독재자,84.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,120,로버트 캐넌,로스 아담,,,,김정일,신상옥,최은희,,,,47,53,0,30,32,20,18
카페 소사이어티,87.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,9165,우디 앨런,,,,,제시 아이젠버그,블레이크 라이블리,스티브 카렐,크리스틴 스튜어트,,,29,71,1,41,34,14,9
눈발,82.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,459,조재민,,,,,박진영,지 우,,,,,8,92,5,63,23,5,4
커튼콜,75.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,249,류훈,,,,,전무송,박철민,장현성,서호철,,,50,50,1,26,34,26,12
연애담,91.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,1919,이현주,,,,,류아벨,이상희,,,,,19,81,1,60,27,9,3
안도 타다오,93.0,스토리가 탄탄하고 감동적인 영화,1551,미즈노 시게노리,,,,,안도 타다오,,,,,,37,63,0,17,35,25,22
해피 아워,98.0,감독연출가 훌륭하고 몰입하여 보게 되는 영화,375,하마구치 류스케,,,,,타나카 사치에,카와무라 리라,미하라 마이코,기쿠치 하즈키,,,51,49,2,35,30,17,16
나홀로 휴가,69.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,109,조재현,,,,,윤주,이준혁,박혁권,,,,61,39,0,21,28,39,13
옐라,96.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,430,크리스티안 페촐트,,,,,크리스티앙 레들,니나 호스,데비드 스트리에소브,바르바라 아우어,,,46,54,1,29,31,19,20
열망,97.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,413,크리스티안 페촐트,,,,,마리 그루버,벤노 퓨어만,안드레 헨니케,크누트 베르거,,,49,51,1,28,30,19,22
리버풀,94.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,1215,폴 맥기건,,,,,바네사 레드그레이브,줄리 월터스,케네스 크랜햄,제이미 벨,프란시스 바버,,27,73,1,24,35,23,18
아이엠스타 뮤직어워드,80.0,OST가 명곡인 상상력을 자극하는 영화,843,와타다 신야,,,,,정혜원,김영은,김새해,정유미,,,33,67,2,5,46,45,3
불멸의 연인,97.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,174,버나드 로즈,,,,,이사벨라 로셀리니,발레리아 골리노,게리 올드만,조한나 터 스티지,미리암 마고리스,,37,63,0,10,26,27,37
자유,93.0,감독연출가 훌륭하고 기분이 좋아지는 영화,1325,홍상수,,,,,문소리,김의성,정은채,이민우(2),,,33,67,0,40,38,16,6
타락천사,89.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,1142,왕가위,,,,,막문위,양채니,이가흔,여명,,,26,74,2,47,29,12,10
가을의 전설,95.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,273,에드워드 즈윅,,,,,탄투 카디날,브래드 피트,카리나 롬바드,안소니 홉킨스,,,47,53,1,20,37,20,23
캡틴 판타스틱,95.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,3144,맷 로스,,,,,비고 모텐슨,조지 맥케이,찰리 쇼트웰,애너리즈 바쏘,니콜라스 해밀턴,,30,70,1,42,34,15,7
바다의 뚜껑,80.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,121,도요시마 케이스케,,,,,미네 아즈사,키쿠치 아키코,,,,,34,66,0,24,42,31,3
디시에르토,68.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,1413,조나스 쿠아론,,,,,제프리 딘 모건,가엘 가르시아 베르날,,,,,60,40,2,27,36,23,13
눈길,97.0,배우연기가 메소드급인 감동적인 영화,4082,이나정,,,,,장영남,서영주,조수향,김향기,,,26,74,4,39,27,21,9
립반윙클의 신부,81.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,1374,이와이 슌지,,,,,코코,아야노 고,쿠로키 하루,,,,35,65,1,37,42,15,5
붉은 거북,91.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,255,미카엘 두독 데 비트,,,,,,,,,,,39,61,1,38,35,18,8
달링,87.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,2327,존 크로키다스,,,,,제니퍼 제이슨 리,벤 포스터,데인 드한,엘리자베스 올슨,다니엘 래드클리프,,14,86,1,66,22,8,4
원스어폰어타임,92.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,1465,세르지오 레오네,,,,,로버트 드 니로,엘리자베스 맥거번,제니퍼 코넬리,조 페시,,,50,50,0,26,36,25,13
그 날,94.0,OST가 명곡인 몰입하여 보게 되는 영화,102,,,,,,쿠츠나 시오리,스다 마사키,마츠자카 토오리,,,,23,77,6,33,34,16,11
다시 태어나도 우리,97.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,779,,,,,,우르간 릭젠,파드마 앙뚜,,,,,30,70,1,21,33,24,21
7년-그들이 없는 언론,98.0,스토리가 탄탄하고 공감되는 영화,1180,김진혁,,,,,박성제,최승호,강지웅,이근행,,,38,62,1,19,36,30,14
비바,89.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,234,패디 브레스내치,,,,,루이스 알베르토 가르시아,헥토르 메디나,호르헤 페루고리아,,,,34,66,0,31,32,22,16
그물,93.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,2360,김기덕,,,,,류승범,최귀화,김영민,이원근,,,56,44,2,38,32,18,10
그레이트 레이스,96.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,119,,,,,,라스무스 하디커,마크 모라한,,,,,33,67,0,5,69,24,3
"좋아해, 너를",80.0,배우연기가 메소드급인 기분이 좋아지는 영화,2204,이마이즈미 리키야,,,,,아오야기 후미코,최민기,,,,,6,94,14,52,21,11,3
내가 처음으로 사랑한 소녀,82.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,1129,오영산,양조개,,,,양사영,담선언,,,,,45,55,2,17,29,26,26
극장판 프리파라 모두 모여라! 프리즘☆투어즈,82.0,OST가 명곡인 상상력을 자극하는 영화,791,히시다 마사카즈,,,,,,,,,,,25,75,5,31,35,27,2
세상에서 고양이가 사라진다면,90.0,스토리가 탄탄하고 감동적인 영화,9168,나가이 아키라,,,,,사토 타케루,미야자키 아오이,,,,,34,66,3,50,29,13,5
춘몽,91.0,배우연기가 메소드급인 공감되는 영화,1779,장률,,,,,김의성,강산에,신민아,조달환,,,37,63,2,38,33,18,8
미스터 캣,92.0,배우연기가 메소드급인 감동적인 영화,793,베리 소넨필드,,,,,케빈 스페이시,말리나 와이즈먼,제니퍼 가너,크리스토퍼 월켄,,,31,69,2,23,36,33,7
걷기왕,83.0,배우연기가 메소드급인 감동적인 영화,4676,백승화,,,,,이재진,박주희,김정영,안승균,,,36,64,2,35,34,23,7
어카운턴트,92.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,3359,게빈 오코너,,,,,벤 애플렉,안나 켄드릭,존 번탈,J.K. 시몬스,,,54,46,2,28,34,23,13
귀담백경,49.0,스토리가 탄탄하고 오싹하게 무서운 영화,260,나카무라 요시히로,시라이시 코지,아사토 마리,오하타 하지메,나이토 에이스케,타카다 리호,,,,,,41,59,3,50,30,12,5
마터스,53.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,134,케빈 고츠,마이클 고츠,,,,베일리 노블,트로이안 벨리사리오,,,,,60,40,0,42,34,15,8
광인,96.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,80,김상철,,,,,김영순,옥한흠,,,,,51,49,0,13,31,27,29
라우더 댄 밤즈,89.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,1205,요아킴 트리에,,,,,가브리엘 번,데빈 드루이드,제시 아이젠버그,이자벨 위페르,,,24,76,2,48,31,12,7
로스트 인 더스트,95.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,5304,데이빗 맥켄지,,,,,크리스 파인,벤 포스터,제프 브리지스,,,,40,60,1,43,31,15,9
혼숨,69.0,배우연기가 메소드급인 오싹하게 무서운 영화,3894,이두환,,,,,조복래,류덕환,,,,,37,63,13,56,13,14,4
순종,98.0,스토리가 탄탄하고 공감되는 영화,624,김동민,이주훈(1),,,,최강희,한성국,최수종,,,,40,60,1,21,29,30,19
어톤먼트,94.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,594,조 라이트,,,,,제임스 맥어보이,키이라 나이틀리,,,,,18,82,4,54,27,10,5
"나, 다니엘 블레이크",99.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,8323,켄 로치,,,,,헤일리 스콰이어,데이브 존스,,,,,34,66,1,34,36,18,10
"무현, 두 도시 이야기",98.0,스토리가 탄탄하고 감동적인 영화,6060,전인환,,,,,노무현,김원명,김하연,,,,43,57,1,18,39,33,9
꿈의 제인,92.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,2447,조현훈,,,,,이주영,이민지(1),구교환,,,,29,71,0,53,29,11,6
시간의 종말,88.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,123,,,,,,채재일,트리오 오원,,,,,36,64,0,23,33,22,22
뮤리엘의 웨딩,88.0,OST가 명곡인 몰입하여 보게 되는 영화,110,P.J. 호건,,,,,레이첼 그리피스,빌 헌터,토니 콜렛,,,,32,68,1,20,32,27,20
문영,89.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,484,김소연(1),,,,,김태리,정현,,,,,18,82,2,59,28,8,3
늑대와 춤을,99.0,영상미가 뛰어나고 감동적인 영화,270,케빈 코스트너,,,,,케빈 코스트너,매리 맥도넬,그레이엄 그린,,,,61,39,0,16,30,25,29
키키,97.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,419,임순례,,,,,류승범,박해일,이얼,박원상,,,56,44,0,28,37,19,17
닥터 스트레인지,94.0,감독연출가 훌륭하고 몰입하여 보게 되는 영화,264,스탠리 큐브릭,,,,,피터 셀라스,조지 C. 스코트,,,,,34,66,1,50,29,14,6
감바의 대모험,94.0,스토리가 탄탄하고 유쾌한 영화,1440,코모리 요시히로,카와무라 토모히로,,,,,,,,,,34,66,0,4,60,34,2
무한대를 본 남자,94.0,배우연기가 메소드급인 감동적인 영화,2407,맷 브라운,,,,,데브 파텔,제레미 아이언스,,,,,40,60,1,31,34,22,12
벨빌의 세 쌍둥이,93.0,영상미가 뛰어나고 상상력을 자극하는 영화,178,실뱅 쇼메,,,,,장 클로드 돈나,미쉘 코크투,모니카 비에가스,미셸 로뱅,,,42,58,1,23,36,25,15
배드 랩,90.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,7,살리마 코로마,재키 조,,,,,,,,,,49,51,0,46,44,8,1
프레쉬 드레스드,92.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,16,사샤 젠킨스,,,,,데이몬드 존,데이먼 대쉬,,,,,62,38,0,33,52,10,5
바버샵 3,79.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,27,말콤 D.리,,,,,,,,,,,22,78,3,61,25,10,2
허슬 앤 플로우,55.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,6,크레이그 브루어,,,,,,,,,,,25,75,0,67,31,0,2
시소,96.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,152,고희영,,,,,,,,,,,18,82,2,63,22,6,7
당신자신과 당신의 것,84.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,1405,홍상수,,,,,백현진,유준상,이유영,김주혁,,,47,53,0,36,38,18,9
오 마이 파파,97.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,134,박혁지,,,,,,,,,,,31,69,0,13,43,28,16
스퀴즈,85.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,269,테리 재스트로,,,,,제이슨 도링,제레미 섬터,크리스토퍼 맥도날드,,,,53,47,0,32,30,21,17
러브 어페어,91.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,310,엠마누엘 무레,,,,,에밀리 드켄,귀욤 고익스,멜리사 홀트,빈센트 맥케인,카멜리아 조다나,,46,54,1,21,31,24,24
