영화제목,에그지수,관람포인트,실관람평개수,감독1,감독2,감독3,감독4,감독5,배우1,배우2,배우3,배우4,배우5,배우6,남자,여자,10대,20대,30대,40대,50대
그집,70.0,배우연기가 메소드급인 긴장을 늦출 수 없는 영화,944,알베르트 핀토,,,,,하비에르 보텟,베아 세구라,이반 마르코스,베고냐 바르가스,,,47,53,8,41,24,16,11
클레르의 무릎,88.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,286,에릭 로메르,,,,,오로라 코르뉘,장 클로드 브리알리,,,,,48,52,1,30,35,17,17
미스비헤이비어,93.0,배우연기가 메소드급인 공감되는 영화,3404,필립파 로소프,,,,,필리스 로건,그렉 키니어,키이라 나이틀리,제시 버클리,,,20,80,1,40,29,16,14
"조금씩, 천천히 안녕",92.0,배우연기가 메소드급인 감동적인 영화,567,나카노 료타,,,,,키타무라 유키야,나카무라 토모야,아오이 유우,다케우치 유코,마츠바라 치에코,,48,52,0,17,29,28,26
싸커 퀸즈,86.0,배우연기가 메소드급인 유쾌한 영화,263,모하메드 하미디,,,,,귀욤 고익스,카드 므라드,로르 칼라미,셀린느 살레테,알반 이바노프,,55,45,1,18,28,30,23
초미의 관심사,90.0,배우연기가 메소드급인 기분이 좋아지는 영화,1134,남연우,,,,,테리스 브라운,치타,조민수,오우리,,,42,58,1,22,32,27,18
루키스,61.0,배우연기가 메소드급인 스트레스가 해소되는 영화,616,원금린,,,,,밀라 요보비치,데이비드 맥기니스,류미동,허위주,,,50,50,3,20,28,26,23
언더워터,77.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,108,비탈리 무카메지아노브,막심 볼코브,,,,,,,,,,35,65,0,3,51,41,4
카메론 포스트의 잘못된 교육,91.0,배우연기가 메소드급인 공감되는 영화,631,디자이리 아카반,,,,,제니퍼 엘,클로이 모레츠,존 갤러거 주니어,포레스트 굿럭,,,32,68,1,39,29,18,13
환상의 마로나,97.0,영상미가 뛰어나고 감동적인 영화,810,안카 다미안,,,,,티에리 한시세,나탈리 부테푸,마이라 슈미트,리지 브로체르,쉬렐 메이-바르,,39,61,0,25,36,21,16
에어로너츠,93.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,6771,톰 하퍼,,,,,앤 레이드,펠리시티 존스,히메쉬 파텔,에디 레드메인,,,45,55,1,23,33,25,18
내언니전지현과 나,95.0,감독연출가 훌륭하고 공감되는 영화,252,박윤진,,,,,박윤진,,,,,,52,48,0,34,41,15,10
슈퍼스타 뚜루,95.0,스토리가 탄탄하고 유쾌한 영화,189,에두아르도 곤델,빅토르 모니고테,,,,,,,,,,36,64,1,13,39,41,7
샤이닝,96.0,감독연출가 훌륭하고 몰입하여 보게 되는 영화,494,스탠리 큐브릭,,,,,셀리 듀발,잭 니콜슨,,,,,37,63,0,51,32,12,6
너는 달밤에 빛나고,82.0,영상미가 뛰어나고 감동적인 영화,2427,츠키카와 쇼,,,,,하세가와 쿄코,나가노 메이,마츠모토 호노카,키타무라 타쿠미,,,51,49,5,33,27,21,14
와일드 시티,83.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,395,론 스캘펠로,,,,,나오미 애키,티모시 스폴,샘 클라플린,휴 보네빌,,,61,39,0,12,23,28,37
레옹 디 오리지널,95.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,347,뤽 베송,,,,,게리 올드만,나탈리 포트만,마이클 바다루코,장 르노,,,48,52,0,41,33,11,15
플래툰,96.0,스토리가 탄탄하고 몰입하여 보게 되는 영화,25,올리버 스톤,,,,,톰 베린저,윌렘 데포,찰리 쉰,,,,64,36,0,31,40,16,14
도미노,52.0,배우연기가 메소드급인 현실감 있는 영화,231,브라이언 드 팔마,,,,,캐리스 밴 허슨,니콜라이 코스터-왈도,가이 피어스,,,,68,32,1,12,21,26,40
열혈형사,54.0,배우연기가 메소드급인 유쾌한 영화,142,윤여창,,,,,김인권,얀츠카,하주희,천이슬,,,66,34,1,12,28,25,34
인비저블 라이프,95.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,1059,카림 아이노우즈,,,,,캐롤 두아르테,줄리아 스토클러,,,,,41,59,0,18,30,26,25
딥워터,92.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,4585,피터 버그,,,,,마크 월버그,딜런 오브라이언,존 말코비치,케이트 허드슨,,,47,53,1,28,32,25,14
부력,97.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,923,로드 라스젠,,,,,타나웃 카스로,삼 행,,,,,48,52,1,27,34,23,16
해피 디 데이,96.0,스토리가 탄탄하고 감동적인 영화,489,켄 마리노,,,,,애덤 팰리,핀 울프하드,바네사 허진스,니나 도브레브,에바 롱고리아,,39,61,1,23,31,22,24
엔딩스 비기닝스,63.0,배우연기가 메소드급인 공감되는 영화,1745,드레이크 도리머스,,,,,매튜 그레이 구블러,세바스찬 스탠,제이미 도넌,쉐일린 우들리,,,33,67,2,22,30,24,22
그레텔과 헨젤,63.0,영상미가 뛰어나고 긴장을 늦출 수 없는 영화,581,오즈 퍼킨스,,,,,사무엘 리키,소피아 릴리스,앨리스 크리지,,,,40,60,3,36,26,19,15
소리꾼,91.0,배우연기가 메소드급인 감동적인 영화,2702,조정래,,,,,임성철,정무성,박철민,김하연,,,39,61,1,20,33,23,24
불량한 가족,80.0,배우연기가 메소드급인 감동적인 영화,225,장재일,,,,,박원상,김다예,박초롱,도지한,,,56,44,5,42,28,11,14
16세의 사운드트랙,88.0,배우연기가 메소드급인 유쾌한 영화,160,힐러리 셰익스피어,,,,,제임스 콜로웨이,스칼렛 마샬,,,,,40,60,0,27,31,24,18
김일성의 아이들,91.0,스토리가 탄탄하고 감동적인 영화,144,김덕영,,,,,,,,,,,50,50,1,14,27,24,34
"아무튼, 아담",89.0,배우연기가 메소드급인 감동적인 영화,1461,마이클 어펜달,,,,,제프 다니엘스,마이클 웨스톤,아론 폴,톰 시즈모어,,,43,57,1,20,30,25,24
인베이젼 2020,61.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,840,표도르 본다르추크,,,,,유리 보리소프,리날 무하메토프,알렉산더 페트로브,이리나 스타르셴바움,,,60,40,1,20,27,27,25
벨빌 캅,76.0,배우연기가 메소드급인 스트레스가 해소되는 영화,154,라시드 부샤렙,,,,,루이스 구즈만,오마 사이,프랑크 가스탐비드,줄리 페리어,,,62,38,0,12,29,29,29
포스 오브 네이쳐,79.0,배우연기가 메소드급인 긴장을 늦출 수 없는 영화,164,마이클 폴리쉬,,,,,에밀 허쉬,케이트 보스워스,멜 깁슨,,,,67,33,1,9,18,29,43
너와 파도를 탈 수 있다면,94.0,영상미가 뛰어나고 감동적인 영화,452,유아사 마사아키,,,,,이토 켄타로,카타요세 료타,마이클 존스턴,카와에이 리나,마츠모토 호노카,,48,52,5,38,25,22,10
비바리움,84.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,2087,로어칸 피네건,,,,,이모겐 푸츠,제시 아이젠버그,조나단 아리스,,,,40,60,1,39,30,17,12
트로이 디렉터스 컷,98.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,688,볼프강 페터젠,,,,,피터 오툴,줄리 크리스티,브라이언 콕스,세프론 버로우스,,,47,53,0,29,37,18,15
지저귀는 새는 날지 않는다,83.0,OST가 명곡인 몰입하여 보게 되는 영화,235,마키타 카오리,,,,,하타노 와타루,신가키 타루스케,,,,,24,76,0,35,34,21,11
리메인,71.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,191,,,,,,김영재,하준,이지연,,,,68,32,0,15,27,27,31
테스와 보낸 여름,97.0,영상미가 뛰어나고 감동적인 영화,1384,스티븐 바우터루드,,,,,소니 코프스 판 우테렌,제니퍼 호프만,트에보 게리츠마,조세핀 아렌센,,,38,62,1,25,34,21,20
담쟁이,84.0,배우연기가 메소드급인 공감되는 영화,800,한제이,,,,,이연,우미화,,,,,36,64,1,27,35,23,14
파리의 인어,81.0,영상미가 뛰어나고 설렘이 가득한 영화,3679,마티아스 말지우,,,,,체키 카료,마릴린 리마,로시 드 팔마,니콜라스 뒤보셸,로만느 보링거,,36,64,2,28,30,22,18
시라이,67.0,배우연기가 메소드급인 오싹하게 무서운 영화,107,오츠이치,,,,,이나바 유우,이토요 마리에,소메타니 쇼타,,,,61,39,8,39,24,14,14
팬데믹,62.0,배우연기가 메소드급인 현실감 있는 영화,780,타카시 도셔,,,,,레슬리 오덤 주니어,프리다 핀토,,,,,49,51,2,32,28,21,17
